- Storing feat: population, resolution: 100m, category: Einwohner (0) 
- Storing feat: citizens, resolution: 100m, category: Deutsche_ab18 (0) 
- Storing feat: foreigners, resolution: 100m, category: AnteilAuslaender (0) 
- Storing feat: foreigners_from_18, resolution: 100m, category: AnteilAuslaenderAb18 (0) 
- Storing feat: birth_country, resolution: 100m, category: Deutschland (1) 
- Storing feat: birth_country, resolution: 100m, category: Ausland_Sonstige (20) 
- Storing feat: birth_country, resolution: 100m, category: EU27_Land (21) 
- Storing feat: birth_country, resolution: 100m, category: Sonstiges_Europa (22) 
- Storing feat: birth_country, resolution: 100m, category: Sonstige_Welt (23) 
- Storing feat: birth_country, resolution: 100m, category: Sonstige (24) 
- Storing feat: citizenship, resolution: 100m, category: Deutschland (1) 
- Storing feat: citizenship, resolution: 100m, category: Ausland_Sonstige (2) 
- Storing feat: citizenship_group, resolution: 100m, category: Deutschland (1) 
- Storing feat: citizenship_group, resolution: 100m, category: Ausland_Sonstige (20) 
- Storing feat: citizenship_group, resolution: 100m, category: EU27_Land (21) 
- Storing feat: citizenship_group, resolution: 100m, category: Sonstiges_Europa (22) 
- Storing feat: citizenship_group, resolution: 100m, category: Sonstige_Welt (23) 
- Storing feat: citizenship_group, resolution: 100m, category: Sonstige (24) 
- Storing feat: age_avg, resolution: 100m, category: Durchschnittsalter (0) 
- Storing feat: age_short, resolution: 100m, category: Unter18 (1) 
- Storing feat: age_short, resolution: 100m, category: a18bis29 (2) 
- Storing feat: age_short, resolution: 100m, category: a30bis49 (3) 
- Storing feat: age_short, resolution: 100m, category: a50bis64 (4) 
- Storing feat: age_short, resolution: 100m, category: a65undaelter (5) 
- Storing feat: age_long, resolution: 100m, category: Unter10 (1) 
- Storing feat: age_long, resolution: 100m, category: a10bis19 (2) 
- Storing feat: age_long, resolution: 100m, category: a20bis29 (3) 
- Storing feat: age_long, resolution: 100m, category: a30bis39 (4) 
- Storing feat: age_long, resolution: 100m, category: a40bis49 (5) 
- Storing feat: age_long, resolution: 100m, category: a50bis59 (6) 
- Storing feat: age_long, resolution: 100m, category: a60bis69 (7) 
- Storing feat: age_long, resolution: 100m, category: a70bis79 (8) 
- Storing feat: age_long, resolution: 100m, category: a80undaelter (9) 
- Storing feat: age_under_18, resolution: 100m, category: AnteilUnter18 (0) 
- Storing feat: age_from_65, resolution: 100m, category: AnteilUeber65 (0) 
- Storing feat: marital_status, resolution: 100m, category: Ledig (1) 
- Storing feat: marital_status, resolution: 100m, category: Verheiratet (2) 
- Storing feat: marital_status, resolution: 100m, category: Verwitwet (3) 
- Storing feat: marital_status, resolution: 100m, category: Geschieden (4) 
- Storing feat: marital_status, resolution: 100m, category: EingetrLebenspartnerschaft (5) 
- Storing feat: marital_status, resolution: 100m, category: EingetrLebenspartVerstorben (6) 
- Storing feat: marital_status, resolution: 100m, category: EingetrLebenspartAufgehoben (7) 
- Storing feat: marital_status, resolution: 100m, category: OhneAngabe (8) 
- Storing feat: families, resolution: 100m, category: families (0) 
- Storing feat: family_type, resolution: 100m, category: Ehep_ohneKind (1) 
- Storing feat: family_type, resolution: 100m, category: Ehep_mind_1Kind_unter18 (2) 
- Storing feat: family_type, resolution: 100m, category: Ehep_Kinder_ab18 (3) 
- Storing feat: family_type, resolution: 100m, category: EingetrLP_ohneKind (4) 
- Storing feat: family_type, resolution: 100m, category: EingetrLP_mind_1Kind_unter18 (5) 
- Storing feat: family_type, resolution: 100m, category: EingetrLP_Kinder_ab18 (6) 
- Storing feat: family_type, resolution: 100m, category: NichtehelLG_ohneKind (7) 
- Storing feat: family_type, resolution: 100m, category: NichtehelLG_mind_1Kind_unter18 (8) 
- Storing feat: family_type, resolution: 100m, category: NichtehelLG_Kinder_ab18 (9) 
